file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,119,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,120,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,14
style.css,121,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,14
style.css,122,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,16
style.css,123,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,124,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,16
style.css,125,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,126,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,127,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,18
style.css,128,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,7
style.css,129,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,12
style.css,130,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,57
style.css,131,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,9
style.css,132,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,21
style.css,133,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,11
style.css,134,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,16
style.css,135,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,136,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,137,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,12
style.css,138,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,12
style.css,139,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,18
style.css,140,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,1,9
style.css,141,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
